id,priority,category,rule,platform,description,do,avoid,severity,source
22,3,performance,layout-stability,Web,"Reserve space for async content to prevent CLS; CLS score must be < 0.1","Set width height attributes on all images; use aspect-ratio CSS; skeleton loaders","Allow content to shift layout on load; add images without dimensions",CRITICAL,"Web Vitals CLS / WCAG 2.2"
23,3,performance,interaction-to-paint,Web,"Time from user interaction to visible response must be < 200ms (INP)","Defer non-critical JS; use requestAnimationFrame for DOM updates; debounce inputs","Run heavy sync JS on main thread during interaction; block paint with JS",HIGH,"Web Vitals INP 2024 / WCAG 2.2"
24,3,performance,font-loading,Web,"Prevent font FOUT/FOIT: use font-display: swap; preload critical fonts","Add <link rel='preload' as='font'> for LCP-critical fonts; use font-display:swap","Load fonts without font-display; block render waiting for webfont download",HIGH,"W3C CSS Fonts / Web Vitals LCP"
25,4,style,style-consistency,All,"Visual styles must be internally consistent; no random mixing of design systems","Define CSS custom properties for all tokens; use them everywhere; no raw hex in components","Mix flat icons with skeuomorphic shadows; use both rounded and sharp cards arbitrarily",HIGH,"Material Design 3 / Apple HIG 2025"
26,4,style,svg-icons,All,"Use SVG icons not emoji not icon fonts; size to 24x24 as base unit","Use inline SVG or SVG sprite; set aria-hidden='true'; size via width/height attr","Use emoji as UI icons; use icon fonts (font-awesome) as primary icon system",HIGH,"WCAG 2.2 SC 1.1.1 / Apple HIG 2025"
27,4,style,brand-tokens,All,"Brand colors must be defined as CSS custom properties not raw hex values","Define --color-primary --color-background etc. at :root; use only tokens in components","Scatter raw hex values in component CSS; define brand color in multiple locations",MEDIUM,"CSS Custom Properties / Material Design 3 Tokens"
28,4,style,radius-system,All,"Border-radius must be systematic; pick one scale and use it throughout","Define --radius-sm --radius-md --radius-lg as tokens; never mix 4px and 16px randomly","Mix 0px 4px 8px 16px 50px border-radius without a system; round some cards but not others",MEDIUM,"Material Design 3 Shape / Apple HIG 2025"
29,5,layout,mobile-first,Web,"Build layouts mobile-first; use min-width breakpoints not max-width","Write base styles for mobile; add complexity at min-width: 768px and above","Build desktop layout first; add max-width: 767px overrides; double override complexity",CRITICAL,"WCAG 2.2 SC 1.4.10 Reflow / W3C Responsive"
30,5,layout,viewport-meta,Web,"Viewport meta tag must be present; must not disable user zoom","Use <meta name='viewport' content='width=device-width initial-scale=1'>","Add maximum-scale=1 user-scalable=no to viewport meta; disable user zoom",CRITICAL,"WCAG 2.2 SC 1.4.4 / Apple HIG 2025"
31,5,layout,no-horizontal-scroll,Web,"Page must not require horizontal scrolling at 320px viewport width","Test at 320px; use max-width: 100%; avoid fixed-width elements wider than viewport","Ship fixed-width 1024px containers without responsive fallback; rely on desktop-only",CRITICAL,"WCAG 2.2 SC 1.4.10 Reflow"
32,5,layout,content-width,Web,"Optimal reading line-length is 60-75 characters; max-width on paragraphs","Use max-width: 65ch on article content; prose containers capped at 720px","Allow text to stretch full viewport width on large screens; no max-width on articles",MEDIUM,"WCAG 2.2 SC 1.4.8 / Baymard Institute 2024"
33,5,layout,grid-system,Web,"Use CSS Grid for 2D layouts; Flexbox for 1D; avoid absolute positioning for flow","Use display: grid with named areas for page layout; flex for component internals","Use position: absolute for stacking normal document-flow content; misuse Flexbox for Grid",HIGH,"W3C CSS Grid / Flexbox"
34,5,layout,spacing-scale,All,"Use a consistent spacing scale (4px/8px/16px/24px/32px/48px/64px)","Define --space-1 through --space-16 as multiples of 4px; use only those values","Use arbitrary spacing values like 11px 17px 23px without a system",MEDIUM,"Material Design 3 Spacing / Apple HIG Spatial"
35,6,typography,base-font-size,All,"Body text minimum 16px; never below 12px for any UI text; 14px min for data cells","Set html { font-size: 100% } (= 16px); scale up with clamp() for larger screens","Set html { font-size: 62.5% } (= 10px) then forget to verify 12px child elements",CRITICAL,"WCAG 2.2 SC 1.4.4 / Apple HIG 2025"
36,6,typography,line-height,All,"Body text line-height minimum 1.5; heading line-height 1.1-1.3","Use line-height: 1.5 on body; 1.2 on display headings; 1.4 on UI labels","Use line-height: 1 on body text; use fixed px line-heights that break at system text sizes",HIGH,"WCAG 2.2 SC 1.4.8"
37,6,typography,text-contrast,All,"Text must meet WCAG AA (4.5:1 normal; 3:1 large); prefer AAA for body","Check every text/bg combo; dark mode needs separate verification","Assume light grey #999 on white is fine; assume dark mode passes without checking",CRITICAL,"WCAG 2.2 SC 1.4.3 SC 1.4.6"
38,6,typography,semantic-color-tokens,All,"Use semantic color tokens not raw hex; tokens adapt to theme switches","Define --color-text-primary --color-text-secondary etc.; never raw hex in components","Scatter #1E293B in 40 CSS rules; make dark mode override each one individually",MEDIUM,"CSS Custom Properties / WCAG 2.2"
39,6,typography,type-scale,All,"Use a modular type scale (1.25x or 1.333x ratio); not random font sizes","Use clamp() for fluid type: font-size: clamp(1rem, 2vw, 1.25rem)","Set heading sizes as arbitrary px values like 22px 31px 19px without a scale",MEDIUM,"W3C CSS Fonts 4 / Material Design 3"
40,7,animation,duration-range,All,"Transitions 150-300ms; entrance animations 200-400ms; never > 600ms for UI","Use 150ms for hover; 300ms for modal enter; 400ms for page transition","Use 800ms+ transitions on interactive hover states; animate all 60+ elements at once",MEDIUM,"Material Design 3 Motion / Apple HIG Motion"
41,7,animation,animation-meaning,All,"Animation must convey meaning or spatial relationship; not purely decorative","Use slide-from-right for navigation forward; slide-from-left for back; fade for overlay","Add bounce animation to every button press; spin every loading state","MEDIUM","Material Design 3 Motion Principles"
42,7,animation,no-animate-layout,Web,"Never animate width/height; animate transform and opacity only for performance","Use transform: scaleX() instead of animating width; opacity for show/hide","Animate max-height for accordion expand; animate width for progress bars","HIGH","W3C CSS Transforms / Web Vitals CLS"
43,7,animation,spatial-continuity,All,"Elements should enter/exit from direction that matches their origin in the UI","Drawer slides from the side it occupies; tooltip appears near trigger element","Make sidebar slide from top; make tooltips appear opposite to trigger element","MEDIUM","Apple HIG 2025 Motion / Material Design 3"
44,8,forms,visible-labels,All,"Every form input must have a visible label; placeholder is not a label","Use <label for='...'>; never placeholder-only; show label even when field is focused","Remove label when user starts typing; use placeholder text as the only label",CRITICAL,"WCAG 2.2 SC 1.3.1 SC 3.3.2"
45,8,forms,inline-error,All,"Show error messages directly below the field that caused the error","Place error <span role='alert'> immediately after the input; 4px gap","Show only a top-of-form error summary; use generic 'Fix errors above' message only",CRITICAL,"WCAG 2.2 SC 3.3.1 SC 3.3.3"
46,8,forms,helper-text,All,"Provide helper text for non-obvious requirements before user makes an error","Show format hint below input before user types: 'Use format YYYY-MM-DD'","Wait until validation to reveal requirements; show requirement only after error state",HIGH,"WCAG 2.2 SC 3.3.2 / Nielsen Heuristics"
47,8,forms,autocomplete,Web,"Use correct HTML autocomplete attributes on all personal data fields","Add autocomplete='email' 'name' 'current-password' etc. to all personal fields","Disable autocomplete on all form fields; add autocomplete='off' to email fields",HIGH,"WCAG 2.2 SC 1.3.5 Identify Input Purpose"
48,8,forms,progressive-disclosure,All,"Show only fields relevant to current step; progressive not dump-everything","Show shipping address only when 'ship to different address' checked; multi-step for 6+ fields","Present 15-field form on one screen without any conditional logic or step flow",HIGH,"WCAG 2.2 SC 3.3 / Nielsen 10 Heuristics"
49,9,navigation,predictable-back,All,"Back navigation must return to previous state not to top of screen","Use history.pushState for SPA nav; restore scroll position on back; preserve form state","Replace full app history stack on nav; send user to top of page on back button press",CRITICAL,"WCAG 2.2 SC 3.2.3 / Apple HIG 2025 Nav"
50,9,navigation,bottom-nav-limit,Mobile,"Bottom navigation bar max 5 items; label every icon; selected state visible","Use 3-5 tabs with icon + label; selected tab color + underline or fill","Use 7-tab bottom nav without labels; rely on icon recognition only for meaning",HIGH,"Apple HIG 2025 Tab Bars / Material Design 3"
51,9,navigation,breadcrumbs,Web,"Add breadcrumb navigation for content 3+ levels deep; use schema markup","Use aria-label='breadcrumb' <nav>; add JSON-LD BreadcrumbList schema","Add breadcrumbs without structured data; use > as separator without aria",MEDIUM,"WCAG 2.2 SC 2.4.8 / Google Search Central 2024"
52,9,navigation,deep-links,Web,"All pages and states must be deep-linkable; use URL params for filters/tabs","Encode tab state in URL query params; encode filter state in URL; use history API","Use in-memory state only for tabs; make filter results not shareable via URL",HIGH,"WCAG 2.2 SC 2.4 / W3C URL Standard"
53,9,navigation,active-state,All,"Current page or section must be visually indicated with more than color alone","Use aria-current='page' on active nav link; combine color + underline + font-weight","Use color-only active state; no aria-current; rely on user memory of location",HIGH,"WCAG 2.2 SC 2.4.8 / SC 1.4.1"
54,10,charts,chart-legends,All,"All charts must have legends; chart colors must have text label alternatives","Place legend adjacent to chart; include value in tooltip not just label","Show pie chart with colors only; no legend; no value labels on segments",HIGH,"WCAG 2.2 SC 1.4.1 / W3C Data Visualization"
55,10,charts,chart-tooltips,All,"Charts must have accessible tooltips; keyboard accessible; screen-reader readable","Add role='tooltip' + aria-describedby; ensure keyboard can reach data points","Use mouse-hover-only tooltips; provide no keyboard or touch access to chart data",HIGH,"WCAG 2.2 SC 1.4.13 / Apple HIG"
56,10,charts,colorblind-charts,All,"Chart color palettes must be safe for deuteranopia and protanopia","Use blue/orange or blue/yellow palettes not red/green; add pattern fills","Use red/green as the sole differentiator between success/failure in charts",CRITICAL,"WCAG 2.2 SC 1.4.1 / Inclusive Color Palette 2024"
57,11,platform,cross-cli-segregation,Multi-CLI,"In multi-CLI interfaces separate each provider's UI affordances visually","Use provider-badge color tokens to distinguish Claude Codex Gemini output areas","Mix provider outputs in undifferentiated UI; confuse users about which AI responded",HIGH,"IJFW Design System v1.1"
58,11,platform,zero-deps-default,All,"Default IJFW designs use zero external dependencies; system fonts only","Build first pass with system font stack; add webfonts as progressive enhancement","Default to CDN fonts that break offline-capable apps; require Google Fonts",HIGH,"IJFW Design System v1.1 / WCAG 2.2"
59,11,platform,positive-framing-ui,All,"All UI empty states and error messages must use positive framing not negative","Use 'Nothing here yet -- start by adding one' not 'No items found'","Use 'Not found' 'Error' 'Failed' as UI message headers; negative framing in empty states",HIGH,"IJFW Design System v1.1 / Sutherland Reframing"
60,11,platform,observation-trail,All,"Every design pass must log an observation to the IJFW ledger","Call design-pass.sh at end of design pass; verify .ijfw/design-pass.json written","Skip observation logging; treat design pass as ephemeral; lose design audit trail",MEDIUM,"IJFW Design System v1.1"
61,12,dark-mode,color-scheme-meta,Web,"Set color-scheme: light dark in CSS; add meta name='color-scheme' to HTML","Add <meta name='color-scheme' content='light dark'> in <head>; use prefers-color-scheme","Rely on JS-only dark mode toggle; ignore system preference; flash on load",HIGH,"W3C CSS Color 5 / Apple HIG 2025 Dark Mode"
62,12,dark-mode,elevation-shadow,Dark Mode,"Use elevation via color lightness shifts not shadows in dark mode","In dark mode use lighter surface colors (not darker) for elevation: surface > #1E1E1E > #252525","Use box-shadow with dark colors in dark mode; shadows invisible on dark backgrounds",MEDIUM,"Material Design 3 Dark Theme Elevation"
63,12,dark-mode,image-invert,Dark Mode,"Images with white backgrounds need dark-mode treatment; use CSS filter","Add CSS filter: brightness(0.8) on white-background images in dark mode","Serve white-background product images unchanged in dark mode; harsh visual pop",MEDIUM,"Apple HIG 2025 / Material Design 3"
64,13,mobile,safe-area-insets,Mobile,"Respect device safe areas: home indicator notch dynamic island","Use env(safe-area-inset-bottom) for bottom nav; padding-top for notch","Place navigation bar at fixed bottom:0 without safe area compensation; obscure home indicator",HIGH,"Apple HIG 2025 Safe Areas / W3C CSS Environment Variables"
65,13,mobile,scroll-bounce,iOS,"Prevent unintended scroll bounce on iOS fixed elements","Add -webkit-overflow-scrolling: touch to scroll containers; overscroll-behavior: none to body","Allow body scroll bounce on iOS; cause fixed footer to jump on scroll",MEDIUM,"Apple HIG 2025 / WCAG 2.2"
66,13,mobile,input-zoom,iOS,"Prevent iOS auto-zoom on focus: minimum input font-size 16px","Set input font-size: 16px minimum; do not rely on design-level prevention","Use 14px input font-size and get surprised by iOS auto-zoom on focus",HIGH,"Apple HIG 2025 / WCAG 2.2 SC 1.4.4"
67,14,content,reading-grade,All,"UI copy should target 8th grade reading level; plain language standard","Use Hemingway app or equivalent to verify; avoid jargon; explain acronyms","Write legal-level prose in UI messages; use internal jargon in user-facing labels",MEDIUM,"WCAG 2.2 SC 3.1.5 / Plain Language Act 2010"
68,14,content,link-text,All,"Link text must describe destination; avoid 'click here' and 'read more'","Use 'Read the WCAG accessibility guide' not 'Click here' or bare URL as link text","Use 'Click here' as link text; use 'Read more' without context for screen readers",HIGH,"WCAG 2.2 SC 2.4.4 SC 2.4.6"
69,14,content,empty-states,All,"Empty states must include: what's empty + why + call to action","Show empty state with illustration/icon + explanation + primary CTA button","Show blank space or '0 results' without explanation or next-step guidance",MEDIUM,"Nielsen Norman Group Empty States 2024 / IJFW Positive Framing"
70,14,content,error-messages,All,"Error messages must explain: what went wrong + why + how to fix it","'Your session expired. Please sign in again to continue.' with Sign In CTA","Show 'Error 401' or 'Something went wrong' without cause or recovery path",HIGH,"WCAG 2.2 SC 3.3.1 SC 3.3.3 / Nielsen Heuristics"
71,15,internationalization,rtl-support,Web,"Layouts must adapt for RTL languages; do not hard-code LTR","Use CSS logical properties: margin-inline-start not margin-left; dir=rtl testing","Use margin-left/right for directional spacing; ship without testing in RTL layout",MEDIUM,"WCAG 2.2 / W3C Internationalization / CSS Logical Properties"
72,15,internationalization,text-expansion,All,"UI must accommodate 30-40% text expansion in translation","Test with German French Spanish which expand 30-40% vs English; use fluid containers","Design for English string length only; use fixed-width buttons that clip translated text",HIGH,"W3C Internationalization / ISO 9241"
73,15,internationalization,date-number-format,All,"Format dates numbers currency per locale; use Intl.DateTimeFormat API","Use new Intl.DateTimeFormat(locale).format(date); never hard-code MM/DD/YYYY","Ship MM/DD/YYYY dates to global audience; assume 1,234.56 is universally understood",MEDIUM,"W3C Internationalization / WCAG 2.2"
74,16,security,csrf-tokens,Web,"All state-changing forms must include CSRF protection","Add CSRF token to all POST forms; verify server-side; use SameSite=Strict cookies","Trust form submissions without CSRF token; assume same-origin policy is sufficient",HIGH,"OWASP CSRF Prevention 2024 / W3C"
75,16,security,input-sanitization,Web,"Sanitize all user inputs before rendering to prevent XSS","Use textContent not innerHTML for user data; use DOMPurify for rich text","Use innerHTML with user-supplied data; trust user input is safe for direct DOM insertion",CRITICAL,"OWASP Top 10 2021 XSS / WCAG 2.2"
76,16,security,sensitive-visibility,All,"Never display sensitive data (password SSN card number) in plain text","Use input type='password'; mask card numbers showing only last 4; password-reveal toggle","Show full card number in UI; echo password in confirmation field as plain text",CRITICAL,"PCI DSS 4.0 / OWASP 2024"
77,17,visual-hierarchy,z-axis-clarity,All,"Layer content with clear visual hierarchy; primary > secondary > tertiary","Use contrast size weight and spacing to create hierarchy; test with CSS disabled","Make everything the same visual weight; rely on position alone to suggest importance",HIGH,"WCAG 2.2 SC 1.3.1 / Apple HIG Visual Hierarchy"
78,17,visual-hierarchy,information-density,All,"Match information density to context and user expertise","Use density modes: comfortable for consumer / compact for power user; prefer token to expose","Ship power-user density to consumer audience; ship consumer density to power users",MEDIUM,"Material Design 3 Density / Apple HIG 2025"
79,17,visual-hierarchy,focal-points,All,"Each view should have one primary action or focal point per screen","Bold one primary CTA; secondary actions visually subdued; never 3+ equally weighted CTAs","Place 4 equal-weight CTA buttons; make all actions visually equivalent",MEDIUM,"Nielsen Norman Group CTA 2024 / Apple HIG"
80,18,feedback,success-confirmation,All,"Confirm successful actions immediately with visible non-blocking feedback","Use toast notification positioned top-right for 3s; inline success icon on form submit","Use alert() for success; require page reload to confirm; stay silent on success",HIGH,"WCAG 2.2 SC 4.1.3 / Apple HIG 2025 Feedback"
81,18,feedback,progress-indication,All,"Show progress for any operation > 1 second","Show determinate progress bar when length is known; spinner when indeterminate","Leave UI frozen for 3+ seconds without any indication work is happening",CRITICAL,"WCAG 2.2 SC 2.2 / Nielsen Heuristics"
82,18,feedback,undo-support,All,"Support undo for destructive or hard-to-reverse actions","Show undo toast for 5s after delete; support Ctrl+Z in text editors","Execute irrecoverable delete immediately; confirm only with modal; no undo path",HIGH,"WCAG 2.2 SC 3.3.4 / Nielsen Heuristics"
83,19,data-display,table-accessibility,Web,"Data tables require headers roles captions; sortable tables require ARIA","Add <thead> with <th scope='col'>; role='grid' for interactive tables; aria-sort on sortable","Use <div> grid for data tables; omit scope; skip aria-sort on sort controls",CRITICAL,"WCAG 2.2 SC 1.3.1 / W3C ARIA Practices"
84,19,data-display,pagination-or-virtual,Web,"Large lists need pagination or virtual scroll; never dump 1000+ items into DOM","Use pagination for static content; virtual list for real-time; page size selector","Render 2000 rows in DOM; use window.scrollTop polling for 'infinite' scroll",HIGH,"WCAG 2.2 SC 2.4 / Web Vitals INP"
85,19,data-display,number-formatting,All,"Format large numbers for readability; use appropriate precision","Show 1.2M not 1200000; 42.5% not 0.425; currency as $1,234.56 with locale","Show raw database values: 1200000 0.425 without formatting or units",MEDIUM,"W3C Internationalization / Nielsen Number Legibility"
86,20,responsive,container-queries,Web,"Use CSS Container Queries for component-level responsive design","Use @container for card/sidebar components that change layout based on their own width","Use only media queries; force all responsive decisions at page viewport level",MEDIUM,"W3C CSS Container Queries / WCAG 2.2 SC 1.4.10"
87,20,responsive,print-styles,Web,"Add @media print styles for any content users may print","Add @media print { nav, .sidebar { display: none } body { font-size: 12pt } }","Ship web app without print styles; force users to screenshot for printing",LOW,"WCAG 2.2 SC 1.4.8 / W3C CSS Media Types"
88,20,responsive,fluid-images,Web,"All images must be fluid and respect container bounds","Add img { max-width: 100%; height: auto } globally; use srcset for resolution switching","Allow images to overflow container; use fixed pixel widths on <img> elements",MEDIUM,"W3C HTML / WCAG 2.2 SC 1.4.10"
89,21,ijfw,design-pass-gate,IJFW,"Run design-pass before writing any UI code in IJFW workflow","Invoke ijfw-design at plan phase for any task touching html css jsx tsx components/","Start writing UI code without checking design tokens palette typography",HIGH,"IJFW Design System v1.1"
90,21,ijfw,preflight-warning,IJFW,"IJFW preflight warns when UI files changed without a recent design pass","design-pass gate in preflight-versions.json checks for .ijfw/design-pass.json","Modify 20 React components without any design pass; diverge from design system silently",MEDIUM,"IJFW Design System v1.1"
91,21,ijfw,platform-badge,IJFW,"In IJFW multi-CLI views badge each provider's output with provider color","Claude: blue badge; Codex: teal badge; Gemini: orange badge; consistent per session","Mix provider outputs without attribution; make multi-agent responses indistinguishable",HIGH,"IJFW Design System v1.1"
92,22,interaction-patterns,dialog-focus,All,"Modal dialogs must trap focus; Escape must close; return focus on close","Use dialog element or aria-modal='true'; trap Tab/Shift+Tab inside; restore trigger focus","Let Tab escape modal; require click-only close; orphan focus after close",CRITICAL,"WCAG 2.2 SC 2.1.2 / ARIA Dialog Pattern"
93,22,interaction-patterns,tooltip-delay,All,"Tooltips must appear after 300ms delay; must not obscure adjacent content","Use CSS :hover + focus-visible trigger; 300ms delay; tooltip positioned clear of content","Show tooltips instantly on hover; place tooltip over the element that triggers it",MEDIUM,"WCAG 2.2 SC 1.4.13 / Apple HIG 2025"
94,22,interaction-patterns,swipe-gestures,Mobile,"Swipe gestures must have button alternatives; never swipe-only","Add visible back/dismiss button alongside swipe gesture support","Make delete available only via left-swipe without accessible alternative",HIGH,"WCAG 2.2 SC 2.1.1 / Apple HIG Gestures"
95,23,animation-advanced,page-transitions,Web,"Page transitions must be < 400ms; respect reduced motion; not block interaction","Use CSS transitions on .page elements at 300ms; immediately interactive after transition","Block user interaction during page transition; use 1s+ loading animation between pages",MEDIUM,"WCAG 2.2 SC 2.3 / Apple HIG Motion"
96,23,animation-advanced,skeleton-loaders,All,"Use skeleton loaders not spinners for content areas that know their shape","Use <div aria-busy='true'> with skeleton CSS animation; match skeleton to content shape","Use center-screen spinner for every loading state including small inline loads",MEDIUM,"WCAG 2.2 SC 4.1.3 / Material Design 3"
97,24,multi-platform,electron-native-menus,Desktop,"Electron apps should use native OS menus not custom HTML menus","Register native menu via Electron Menu API; use application menu for File Edit View","Build HTML custom menu bar that doesn't integrate with OS menu system; no keyboard shortcut support",MEDIUM,"Apple HIG 2025 Menus / WCAG 2.2 SC 1.3.1"
98,24,multi-platform,pwa-manifest,PWA,"PWA must include valid web app manifest with icons name and display mode","Add manifest.json with name short_name icons display:standalone start_url theme_color","Ship installable web app without manifest; use browser default name and icon","HIGH","W3C PWA / WCAG 2.2"
99,25,testing,visual-regression,All,"Run visual regression tests before shipping UI changes to production","Use Playwright Percy or Chromatic for visual diff on CI; compare against approved snapshots","Ship UI changes without visual regression; rely on manual QA of visual fidelity",MEDIUM,"W3C Testing / Playwright 2024"
100,25,testing,axe-accessibility,Web,"Run automated accessibility scan (axe-core) in CI on every PR","Add axe-playwright or jest-axe to test suite; fail CI on new axe violations","Rely on manual accessibility review only; audit once at launch and never again",HIGH,"WCAG 2.2 / Deque axe-core 4.8"
101,25,testing,color-contrast-check,All,"Verify all foreground/background color pairs against WCAG in automated tests","Use contrast-ratio npm package in tests; verify design tokens against WCAG thresholds","Accept designer's 'it looks fine' on color contrast without measurement",CRITICAL,"WCAG 2.2 SC 1.4.3 / IJFW Design System v1.1"
