id,priority,product_keywords,style_match,palette_match,typography_match,pattern_match,chart_match,confidence,rationale,source
11,2,"portfolio showcase work personal brand creative","air gallery-mosaic dark-artist","dark-artist clean-white warm-studio","geometric-display variable-serif-display","Portfolio","No charts","HIGH","Portfolio: curated not comprehensive; hover effects; full-width images; accessibility still mandatory","WCAG 2.2"
12,2,"startup launch product-hunt early waitlist","hero-bold gradient-mesh","violet-spark coral-pop neon-night","dm-family geist inter-system","Marketing Landing","Funnel Chart Stat Card","HIGH","Startup: bold brand colors; waitlist pattern; product-hunt badge; mobile-first; single CTA focus","WCAG 2.2"
13,2,"education learning course platform school","pastel-soft card-grid wizard-flow","learn-blue kids-fun","rounded-friendly accessible-bold","Education App","Bar Chart Line Chart Stat Card","HIGH","Education: friendly colors; progress celebration; no punishment states; undo on all actions; accessible font size 16px+","WCAG 2.2 / Kohn 2023"
14,2,"enterprise corporate B2B large organization","sidebar-command data-dense clean-light","enterprise-slate corporate-graphite executive-dark","system-native-web dense-compact","Admin Panel","Bar Chart Line Chart Stat Card","HIGH","Enterprise: trust palette; no experimental styles; stable navigation; accessibility non-negotiable; keyboard shortcuts","WCAG 2.2 / ISO 9241"
15,2,"AI artificial intelligence chatbot LLM assistant agent","cross-cli-platform dark-vibrant clean-ai-light","neural-blue gradient-intelligence clean-ai-light ijfw-dark","ijfw-platform geist system-native-web","AI Interface","Stat Card Line Chart","HIGH","AI context: streaming response; copy button; token display; provider attribution; keyboard-first; no modal blocking stream","WCAG 2.2 / IJFW Design System v1.1"
16,2,"multi-agent multi-cli platform IJFW trident cross-audit","ijfw-dashboard cockpit cross-cli-platform","ijfw-dark ijfw-light ijfw-accent","ijfw-platform ijfw-terminal","Multi-Agent Dashboard","Stat Card Line Chart Bar Chart","HIGH","IJFW-specific: provider color-coded badges; observation trail visible; session log; positive framing in all empty states","IJFW Design System v1.1"
17,2,"dark mode night theme low-light high-contrast","pure-dark dim-dark dark-vibrant","github-dark code-dark nord","system-native-web ijfw-terminal","Developer Tool","Same as base pattern","MEDIUM","Dark mode signal: OLED-safe pure black or Material #121212 dim; elevation via lightness not shadows; prefers-color-scheme","Material Design 3 / Apple HIG 2025"
18,2,"government public sector civic accessibility USWDS","swiss-grid flat-modern content-first","gov-blue uk-gov high-contrast","accessible-bold system-native-web","Settings Page","Bar Chart Stat Card","HIGH","Government: WCAG AAA; plain language; USWDS or GOV.UK standards; screen reader priority; large font default","WCAG 2.2 AAA / USWDS 3.0"
19,3,"glassmorphism glass frosted blur modern premium","glassmorphism liquid-glass frosted-panel","violet-spark gradient-intelligence","geist inter-system","SaaS General","Stat Card Bar Chart","MEDIUM","Glass style requested: verify contrast 4.5:1 on blurred bg; test on varied backgrounds; performance-conscious blur","WCAG 2.2 SC 1.4.3 / MDN Backdrop Filter"
20,3,"brutalism bold raw anti-design artistic","raw-brutalism neo-brutalism utility-first","brand-magenta brand-indigo brand-amber","atkinson-hyperlegible accessible-bold-sans","Portfolio","No charts","MEDIUM","Brutalist signal: intentional not accidental; primary colors; 0px radius; no transitions; verify AAA contrast is achievable","WCAG 2.2 SC 1.4.6"
21,3,"luxury premium high-end refined sophisticated","liquid-glass air minimal","midnight-gold luxury-black brand-amber","variable-serif-display editorial-classic","E-commerce Luxury","Stat Card Sparkline","MEDIUM","Luxury signal: slow animation 400ms; no sale/urgency patterns; editorial narrative first; never show price prominently","WCAG 2.2 / Apple HIG 2025"
22,3,"gaming game entertainment interactive fun","dark-vibrant retro-pixel vaporwave","neon-gamer ember-dark","geometric-display variable-fluid","Gaming","No charts","MEDIUM","Gaming context: high contrast neon; no accessibility compromises; keyboard shortcuts; avoid accessibility-hostile effects","WCAG 2.2 SC 1.4.3"
23,3,"social media community feed engagement","feed-infinite card-grid","social-purple community-orange","system-native-web rounded-friendly","Social Platform","Bar Chart Stat Card Sparkline","MEDIUM","Social context: virtual scroll; skeleton loaders; reaction micro-animations; report/block always accessible","WCAG 2.2 / GDPR"
24,3,"print newspaper column typographic publication","print-inspired magazine long-read","reading-light warm-off-white","print-serif editorial-classic","Blog Editorial","No charts","MEDIUM","Print-inspired: serif body; column rules; baseline grid; no animation; generous line-height 1.6; offline-print styles","WCAG 2.2 SC 1.4.8"
25,4,"minimal clean simple white space","swiss-grid air flat-modern","clean-light warm-off-white tailwind-zinc","system-native-web inter-system hybrid-modern","SaaS General","Stat Card Bar Chart","MEDIUM","Minimal signal: constraint is a design choice; system fonts; limited palette; generous whitespace; no decoration","WCAG 2.2 / Muller-Brockmann"
26,4,"accessibility a11y inclusive universal design screen reader","monochrome high-contrast content-first","high-contrast deuteranopia-safe protanopia-safe","atkinson-hyperlegible dyslexia-friendly accessible-bold","Healthcare App","Waffle Chart Bar Chart Stat Card","HIGH","Accessibility-first: WCAG AAA target; Atkinson Hyperlegible; 44px targets; skip links; axe-core CI; always test with real screen reader","WCAG 2.2 AAA / USWDS 3.0"
27,4,"realtime live streaming data feed websocket","cockpit dark-vibrant","data-teal terminal-green ijfw-dark","system-native-web ijfw-terminal","Analytics Dashboard","Line Chart Stat Card Sparkline","MEDIUM","Realtime context: smooth chart updates 200ms; skeleton not full-reload; websocket reconnect UX; timestamp always visible","WCAG 2.2 / Web Vitals"
28,4,"onboarding signup setup wizard tutorial","wizard-flow pastel-soft","sky-fresh learn-blue emerald-fresh","system-native-web rounded-friendly","Onboarding Flow","Stat Card Funnel Chart","MEDIUM","Onboarding: one task per screen; step N of M always visible; skip option for optional; celebrate completion; undo critical steps","WCAG 2.2 SC 3.3 / Nielsen Onboarding 2024"
