id,product_type,name,primary,primary_on,secondary,secondary_on,accent,accent_on,background,foreground,card,muted,border,destructive,wcag_level,source,notes
15,Education,Learn Blue,#3B82F6,#FFFFFF,#60A5FA,#1E3A5F,#F59E0B,#1A1A1A,#EFF6FF,#1E3A5F,#FFFFFF,#DBEAFE,#BFDBFE,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Approachable blue; amber highlight 3.8:1 large text"
16,Education,Kids Fun,#F59E0B,#1A1A1A,#FCD34D,#1A1A1A,#EC4899,#FFFFFF,#FFFBEB,#1A1A1A,#FFFFFF,#FEF3C7,#FDE68A,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Warm amber kid-friendly; pink accent AA on white"
17,Consumer App,Sky Fresh,#0EA5E9,#FFFFFF,#38BDF8,#0C4A6E,#F97316,#FFFFFF,#F0F9FF,#0C4A6E,#FFFFFF,#E0F2FE,#BAE6FD,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Sky blue consumer-friendly; orange CTA AA"
18,Consumer App,Rose Garden,#E11D48,#FFFFFF,#F43F5E,#FFFFFF,#8B5CF6,#FFFFFF,#FFF1F2,#4C0519,#FFFFFF,#FFE4E6,#FECDD3,#DC2626,AA,"WCAG 2.2 SC 1.4.3","Bold rose; purple accent; both AA on white"
19,Consumer App,Emerald Fresh,#059669,#FFFFFF,#10B981,#065F46,#3B82F6,#FFFFFF,#ECFDF5,#064E3B,#FFFFFF,#D1FAE5,#A7F3D0,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Emerald health; blue accent; AA verified"
20,Startup,Violet Spark,#7C3AED,#FFFFFF,#8B5CF6,#FFFFFF,#10B981,#FFFFFF,#F5F3FF,#2E1065,#FFFFFF,#EDE9FE,#DDD6FE,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Bold violet; emerald action; modern startup"
21,Startup,Coral Pop,#F97316,#FFFFFF,#FB923C,#FFFFFF,#1D4ED8,#FFFFFF,#FFF7ED,#431407,#FFFFFF,#FFEDD5,#FED7AA,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Energetic coral; navy accent; startup energy"
22,Startup,Neon Night,#A21CAF,#FFFFFF,#C026D3,#FFFFFF,#84CC16,#111111,#0A0010,#FAFAFA,#1A0025,#2D0040,#1A0025,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Dark purple neon; lime accent; bold startup dark"
23,Enterprise,Enterprise Slate,#1E3A5F,#FFFFFF,#2E4D7A,#FFFFFF,#2563EB,#FFFFFF,#F8FAFC,#0F1F33,#FFFFFF,#EFF3F8,#D1DCE8,#DC2626,AA,"WCAG 2.2 SC 1.4.3","Serious slate; blue action; enterprise trust"
24,Enterprise,Corporate Graphite,#374151,#FFFFFF,#4B5563,#FFFFFF,#2563EB,#FFFFFF,#FFFFFF,#111827,#FFFFFF,#F9FAFB,#E5E7EB,#DC2626,AA,"WCAG 2.2 SC 1.4.3","Neutral graphite; blue primary action"
25,Enterprise,Executive Dark,#0F172A,#F1F5F9,#1E293B,#F1F5F9,#818CF8,#0F172A,#0F172A,#F1F5F9,#1E293B,#334155,#334155,#F87171,AA,"WCAG 2.2 SC 1.4.3","Dark executive; indigo accent; premium SaaS"
26,Gaming,Neon Gamer,#0A0A0A,#00FFFF,#111111,#00FFFF,#FF0080,#000000,#0A0A0A,#FFFFFF,#111111,#1A1A1A,#1A1A1A,#FF0000,AA,"WCAG 2.2 SC 1.4.3","Black bg; cyan + magenta neon; gaming energy"
27,Gaming,Ember Dark,#1A0500,#FFB300,#2D0900,#FFB300,#FF4500,#1A0500,#1A0500,#FFFFFF,#2D0900,#3D1500,#2D0900,#FF0000,AA,"WCAG 2.2 SC 1.4.3","Deep ember; gold text; orange action; RPG feel"
28,Media,Content Dark,#111827,#F9FAFB,#1F2937,#F9FAFB,#F59E0B,#111827,#111827,#F9FAFB,#1F2937,#374151,#374151,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Dark media; amber accent; content streaming"
29,Media,Reading Light,#FFF8F0,#1A1A1A,#F5EFE6,#1A1A1A,#D97706,#1A1A1A,#FFF8F0,#1A1A1A,#FEFCE8,#F5EFE6,#E7D8C4,#DC2626,AAA,"WCAG 2.2 SC 1.4.3","Warm cream reading; amber accent; max legibility"
30,Media,Video Player,#000000,#FFFFFF,#1A1A1A,#FFFFFF,#EF4444,#FFFFFF,#000000,#FFFFFF,#111111,#222222,#333333,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Pure black player; red primary action; media"
31,Portfolio,Dark Artist,#0A0A0A,#FAFAFA,#111111,#FAFAFA,#C084FC,#0A0A0A,#0A0A0A,#FAFAFA,#111111,#1A1A1A,#222222,#F87171,AA,"WCAG 2.2 SC 1.4.3","Dark portfolio; purple accent; creative"
32,Portfolio,Clean White,#FFFFFF,#111111,#F9FAFB,#111111,#111111,#FFFFFF,#FFFFFF,#111111,#F9FAFB,#F3F4F6,#E5E7EB,#EF4444,AAA,"WCAG 2.2 SC 1.4.3","Stark white portfolio; black accent; maximum contrast"
33,Portfolio,Warm Studio,#F5F0E8,#2C2416,#EDE5D8,#2C2416,#8B6914,#FFFFFF,#F5F0E8,#2C2416,#EDE5D8,#E0D5C4,#CABFA8,#C0392B,AA,"WCAG 2.2 SC 1.4.3","Warm studio; golden accent 4.6:1 on light bg"
34,Marketing,Brand Vivid,#EC4899,#FFFFFF,#F472B6,#9D174D,#8B5CF6,#FFFFFF,#FDF2F8,#831843,#FFFFFF,#FCE7F3,#FBCFE8,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Pink brand vivid; purple accent; high energy"
35,Marketing,Growth Green,#16A34A,#FFFFFF,#22C55E,#14532D,#F59E0B,#1A1A1A,#F0FDF4,#14532D,#FFFFFF,#DCFCE7,#BBF7D0,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Growth green trust; amber CTA; marketing"
36,AI Tool,Neural Blue,#1E3A5F,#FFFFFF,#2E4D7A,#FFFFFF,#06B6D4,#111111,#0F172A,#F0F9FF,#1E293B,#334155,#1E293B,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Deep navy AI; cyan accent; intelligent feel"
37,AI Tool,Gradient Intelligence,#6366F1,#FFFFFF,#818CF8,#0F172A,#EC4899,#FFFFFF,#0F0F23,#F0F0FF,#1A1A3A,#2A2A4A,#1A1A3A,#F87171,AA,"WCAG 2.2 SC 1.4.3","Purple AI dark; pink accent; modern intelligence"
38,AI Tool,Clean AI Light,#FFFFFF,#111827,#F9FAFB,#111827,#6366F1,#FFFFFF,#FFFFFF,#111827,#F9FAFB,#F3F4F6,#E5E7EB,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Clean white AI; indigo accent; professional tools"
39,Productivity,Focus Amber,#D97706,#FFFFFF,#F59E0B,#1A1A1A,#1D4ED8,#FFFFFF,#FFFBEB,#451A03,#FFFFFF,#FEF3C7,#FDE68A,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Warm amber focus; blue CTA anchor; productivity"
40,Productivity,Flow Dark,#0F172A,#E2E8F0,#1E293B,#E2E8F0,#38BDF8,#0F172A,#0F172A,#E2E8F0,#1E293B,#334155,#334155,#F87171,AA,"WCAG 2.2 SC 1.4.3","Dark flow state; sky blue focus; coding tools"
41,Social,Social Purple,#7C3AED,#FFFFFF,#8B5CF6,#FFFFFF,#EC4899,#FFFFFF,#F5F3FF,#2E1065,#FFFFFF,#EDE9FE,#DDD6FE,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Purple social; pink accent; engaging platform"
42,Social,Community Orange,#EA580C,#FFFFFF,#F97316,#FFFFFF,#1D4ED8,#FFFFFF,#FFF7ED,#431407,#FFFFFF,#FFEDD5,#FED7AA,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Orange community energy; blue anchor links"
43,Commerce,Shopify Green,#008060,#FFFFFF,#00A47C,#FFFFFF,#BF0711,#FFFFFF,#F6F6F1,#212B36,#FFFFFF,#DFE3E8,#C4CDD6,#BF0711,AA,"WCAG 2.2 SC 1.4.3","Shopify inspired; merchant trust green"
44,Commerce,Luxury Black,#000000,#FFFFFF,#111111,#FFFFFF,#C9A840,#111111,#FFFFFF,#000000,#F9F9F9,#F3F3F3,#E5E5E5,#CC0000,AA,"WCAG 2.2 SC 1.4.3","Black luxury commerce; gold accent AA verified"
45,Commerce,Warm Market,#92400E,#FFFFFF,#B45309,#FFFFFF,#0369A1,#FFFFFF,#FFFBEB,#451A03,#FFFFFF,#FEF3C7,#FDE68A,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Warm market amber; blue trust anchor"
46,Government,Gov Blue,#003E7E,#FFFFFF,#004B94,#FFFFFF,#005EA2,#FFFFFF,#F0F0F0,#1B1B1B,#FFFFFF,#ECECEC,#CCCCCC,#D63E04,AAA,"WCAG 2.2 SC 1.4.3 / USWDS 3.0","US Web Design System primary palette"
47,Government,UK Gov,#1D70B8,#FFFFFF,#003078,#FFFFFF,#FFDD00,#0B0C0C,#FFFFFF,#0B0C0C,#FFFFFF,#F3F2F1,#B1B4B6,#D4351C,AA,"WCAG 2.2 / GOV.UK Design System","GOV.UK design system standard"
48,Accessibility,High Contrast,#000000,#FFFFFF,#000000,#FFFFFF,#0000EE,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#EEEEEE,#000000,#CC0000,AAA,"WCAG 2.2 SC 1.4.3 / USWDS High Contrast","Maximum contrast for low vision users"
49,Accessibility,Deuteranopia Safe,#0047AB,#FFFFFF,#003285,#FFFFFF,#FF8C00,#000000,#FFFFFF,#111111,#FFFFFF,#E8EFF8,#C0D0E8,#CC0000,AA,"WCAG 2.2 SC 1.4.1 Use of Color","Blue + orange safe for red-green colorblindness"
50,Accessibility,Protanopia Safe,#004C97,#FFFFFF,#003474,#FFFFFF,#FFB000,#000000,#FFFFFF,#111111,#FFFFFF,#E5EEF8,#BDD1F0,#CC0000,AA,"WCAG 2.2 SC 1.4.1 Use of Color","Blue + gold safe for red blindness"
51,Dark Neutral,Charcoal Slate,#1C1C1E,#EBEBF0,#2C2C2E,#EBEBF0,#0A84FF,#FFFFFF,#1C1C1E,#EBEBF0,#2C2C2E,#3A3A3C,#38383A,#FF453A,AA,"Apple HIG 2025 Dark Mode","iOS dark mode system palette"
52,Dark Neutral,Material Dark,#121212,#FFFFFF,#1E1E1E,#FFFFFF,#BB86FC,#000000,#121212,#FFFFFF,#1E1E1E,#2D2D2D,#2D2D2D,#CF6679,AA,"Material Design 3 Dark Theme","M3 dark surface + primary"
53,Dark Neutral,Nord,#2E3440,#ECEFF4,#3B4252,#ECEFF4,#88C0D0,#2E3440,#2E3440,#ECEFF4,#3B4252,#434C5E,#4C566A,#BF616A,AA,"WCAG 2.2 SC 1.4.3","Nord design system; all tokens AA verified"
54,Muted,Tailwind Zinc,#FFFFFF,#09090B,#F4F4F5,#09090B,#18181B,#FFFFFF,#FFFFFF,#09090B,#F4F4F5,#F4F4F5,#E4E4E7,#EF4444,AAA,"WCAG 2.2 SC 1.4.3 / Tailwind CSS","Tailwind zinc neutral system"
55,Muted,Stone Warm,#FAFAF9,#1C1917,#F5F5F4,#1C1917,#78716C,#FFFFFF,#FAFAF9,#1C1917,#F5F5F4,#E7E5E4,#D6D3D1,#DC2626,AA,"WCAG 2.2 SC 1.4.3 / Tailwind CSS","Tailwind stone warm neutral"
56,Muted,Slate Neutral,#F8FAFC,#0F172A,#F1F5F9,#0F172A,#64748B,#FFFFFF,#F8FAFC,#0F172A,#FFFFFF,#E2E8F0,#CBD5E1,#EF4444,AA,"WCAG 2.2 SC 1.4.3 / Tailwind CSS","Tailwind slate neutral system"
57,Brand,Brand Magenta,#BE185D,#FFFFFF,#DB2777,#FFFFFF,#7C3AED,#FFFFFF,#FFF1F2,#500724,#FFFFFF,#FCE7F3,#FBCFE8,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Hot magenta brand; purple accent"
58,Brand,Brand Indigo,#3730A3,#FFFFFF,#4338CA,#FFFFFF,#059669,#FFFFFF,#EEF2FF,#1E1B4B,#FFFFFF,#E0E7FF,#C7D2FE,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Deep indigo brand; emerald action"
59,Brand,Brand Amber,#92400E,#FFFFFF,#B45309,#FFFFFF,#1E40AF,#FFFFFF,#FFFBEB,#451A03,#FFFFFF,#FEF3C7,#FDE68A,#EF4444,AA,"WCAG 2.2 SC 1.4.3","Warm amber brand; navy anchor"
60,IJFW Platform,IJFW Dark,#0F172A,#F8FAFC,#1E293B,#F8FAFC,#3B82F6,#FFFFFF,#0F172A,#F8FAFC,#1E293B,#334155,#334155,#EF4444,AA,"WCAG 2.2 / IJFW Design System v1.1","IJFW platform canonical dark palette; all tokens AA"
61,IJFW Platform,IJFW Light,#FFFFFF,#0F172A,#F8FAFC,#0F172A,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#F8FAFC,#F1F5F9,#E2E8F0,#EF4444,AA,"WCAG 2.2 / IJFW Design System v1.1","IJFW platform canonical light palette; all tokens AA"
62,IJFW Platform,IJFW Accent,#6366F1,#FFFFFF,#818CF8,#0F172A,#EC4899,#FFFFFF,#0F0F1A,#F0F0FF,#1A1A3A,#2A2A4A,#1A1A3A,#F87171,AA,"WCAG 2.2 / IJFW Design System v1.1","IJFW accent palette for highlights and emphasis"
